"12162","A2LV5QYHH24OMY","Fix your iphone app.","Latency"
"13526","A2LV5QYHH24OMY","prices","Price"
"27102","A2LV5QYHH24OMY","I love the moving models featured on the site.","Images"
"7804","A312KFQ78WB3A4","have a 'check nearest store' section","MoreFunc"
"23429","A2LV5QYHH24OMY","directions","MoreFunc"
"18314","A1KYGP10BH4FXU","have more gucci belts","Range"
"7407","A3MXBLYX2CDGTP","Good!!!","None"
"27957","A2QN0EGBRGJU1M","the site customer friendly","Navigation"
"22984","A2LV5QYHH24OMY","You could improve creating some wishlist to put our favourit pieces :)","MoreFunc"
"20171","A312KFQ78WB3A4","cheaper delivery","Delivery"
"22787","A1KYGP10BH4FXU","have an advanced search","None"
"20644","A182JW8U6PO60U","this gives the distinct impression that you don't care about your buying customers.","None"
"9467","A1KYGP10BH4FXU","am here for my soul mate","None"
"7779","A2LV5QYHH24OMY","more colorful on the background site","Navigation"
"2967","A2I3Y0L38HMQLZ","Free delivery please.","Delivery"
"11334","A2LV5QYHH24OMY","I like a lot of the clothes","Products"
"14385","A2LV5QYHH24OMY","having more of the items on mannequins to see the length etc","Images|MoreFunc"
"13826","A1KYGP10BH4FXU","have more stock","Stock"
"3885","A312KFQ78WB3A4","color background for white products so you can actually see them.","Images"
"12960","A2I3Y0L38HMQLZ","When describing clothing please put size model is wearing and their height then can get true idea of how it looks and sizing","Size"
"17616","A2LV5QYHH24OMY","sort out your system tried to order","Navigation"
"17942","A2LV5QYHH24OMY","the best thing about this is that it has good layout and what you need to improve is the search engine","Navigation|MoreFunc"
"23945","A2LV5QYHH24OMY","love it!","None"
"21004","A312KFQ78WB3A4","everything","None"
"3809","A312KFQ78WB3A4","make everything less expensive please!!","Price"
"24347","A2I3Y0L38HMQLZ","the prices are to expensive","Price"
"20156","A2LV5QYHH24OMY","also maybe a feature where you can sort of bookmark an item for later so it doesn't disrupt browsing?","MoreFunc"
"3949","A2LV5QYHH24OMY","would be great if It didnt freeze as much...............","Latency"
"25669","A3SWVCOJPJM7KQ","More specific measurements for garments.","None"
"28891","A2LV5QYHH24OMY","i think your website is great and does not need any changes made to it","Navigation"
"16081","A1KYGP10BH4FXU","GREAT IMAGES TO SEE EACH DETAIL","None"
"6025","A2LV5QYHH24OMY","sale by size (warehouse do this- v helpful)","Size|MoreFunc"
"6466","A1KYGP10BH4FXU","can change to display difference currancy.","None"
"15072","A2LV5QYHH24OMY","navigation and filters.","Navigation"
"6989","A312KFQ78WB3A4","have pics of clothes on women","Images"
"15733","A2LV5QYHH24OMY","the lay out is really helpful for doing broad searches and is also easy to classify your search into particular brands","Navigation"
"11135","A2I3Y0L38HMQLZ","Good site quick and easy to use","Navigation"
"16321","A2I3Y0L38HMQLZ","more maternity clothes and maternity tights please!","Range"
"5595","A312KFQ78WB3A4","Be able to view all prices in different currencies - NZD$","MoreFunc"
"23857","A2LV5QYHH24OMY","To somehow make the store checker more accurate.","MoreFunc"
"21422","A2LV5QYHH24OMY","excellent!","None"
"26936","A2I3Y0L38HMQLZ","it would be nice to see how many more blooms in the larger bouquets.","Images"
"4005","A2LV5QYHH24OMY","Love your site.","Navigation"
"7688","A2LV5QYHH24OMY","to make it more easy to work and be on its too difficalt","MoreFunc"
"13636","A2LV5QYHH24OMY","cheaper clothes","Price"
"19687","A2I3Y0L38HMQLZ","Make everything cheaper I can't afford anything :'(","Price"
"24245","A2I3Y0L38HMQLZ","nothing","None"
"17049","A1KYGP10BH4FXU","Video of clothes on models to see fall and movement","None"
"17774","A2LV5QYHH24OMY","I love it all <3","None"
"24778","A2LV5QYHH24OMY","please allow for email to friend","MoreFunc"
"14083","A2LV5QYHH24OMY","I like the range of products","Range"
"26568","A312KFQ78WB3A4","better options for international customers who want to find an item that is out of stock online","Stock"
"27349","A2BWMYV8JU7RO4","Helpful and FANTASTIC!","None"
"14440","A2I3Y0L38HMQLZ","Easy to get around and fast.","Latency|Navigation"
"21813","A1KYGP10BH4FXU","Need to show opening times for the stores as this is what I was looking for.","None"
"26010","A312KFQ78WB3A4","brilliant layout..easy access to all items","Navigation"
"2317","A312KFQ78WB3A4","would like to be able to go into the category that I wish to purchase.","MoreFunc"
"13688","A312KFQ78WB3A4","I would love to see the clothes on actual models!","Images"
"27982","A2LV5QYHH24OMY","prices!","Price"
"25255","A2LV5QYHH24OMY","I like this site because there are a lot of different brands and the selection of the products is very good.","Range"
"13489","A2LV5QYHH24OMY","You were the only company I found that did the exotic flowers my friend would love.","Products"
"22691","A2LV5QYHH24OMY","let me search by price","Price|Navigation"
"18988","A2LV5QYHH24OMY","I like the choice","Range"
"5558","A312KFQ78WB3A4","tell us how much is on our giftcards","MoreFunc"
"5155","A312KFQ78WB3A4","its fab ok","None"
"2047","A312KFQ78WB3A4","Have a larger nail varnish choice","Size"
"17825","A1KYGP10BH4FXU","We NEED to see the clothes on real people.","Images"
"10709","A2I3Y0L38HMQLZ","Its awesome!!!!!","None"
"11695","A2LV5QYHH24OMY","I like the clothes.","Products"
"2874","A2LV5QYHH24OMY","You need shipping in Brazil...","Delivery"
"17895","A2BWMYV8JU7RO4","nothing","None"
"13327","A2I3Y0L38HMQLZ","google said you do free delivery....site charges ^6.99 - wont be ordering from you","Delivery"
"5891","A312KFQ78WB3A4","Regards Alan Skinner","Products"
"3668","A2I3Y0L38HMQLZ","Nothing....everything was straight forward and easy to understand....","Navigation"
"27267","A2LV5QYHH24OMY","It would help if it worked!","Navigation"
"28768","A2LV5QYHH24OMY","I'd like to see more products on offer:)","Range"
"18509","A2LV5QYHH24OMY","i think it has a bad opening page","Navigation"
"23671","A312KFQ78WB3A4","more sales","Price"
"25805","A2I3Y0L38HMQLZ","cheaper prices pls","Price"
"18903","A2I3Y0L38HMQLZ","a currency converter","MoreFunc"
"3655","A2LV5QYHH24OMY","I would love for the clothes to have suggestions of what to wear them with.","Products|MoreFunc"
"22677","A2I3Y0L38HMQLZ","I do not like your prices.","Price"
"6435","A2LV5QYHH24OMY","Free delivery","Delivery"
"6905","A3SWVCOJPJM7KQ","i like all","None"
"840","A2I3Y0L38HMQLZ","definitely clothes pictured on models!","None"
"2086","A312KFQ78WB3A4","i like how easy it is to find exactly what you want & the only tiny and kind of silly thing i'd say you could improve is when you increase the amount of items you can see on one page it jumps back to the top of the page instead of carrying on from where you already were....is that really weird??","Latency|Navigation"
"14251","A2LV5QYHH24OMY","I love your clothes!!","Products"
"3726","A1KYGP10BH4FXU","too expensive","Price"
"14054","AVX3SWFMBEPMZ","too expensive","Price"
"10358","A2QN0EGBRGJU1M","ceramicpots","None"
"5379","A312KFQ78WB3A4","NEED TO SAVE BASKET ITEMS FOR AT LEAST 24 HRS AND ALSO INCREASE ITEM NUMBER ABOVE 10.","MoreFunc"
"26383","A2LV5QYHH24OMY","For some reason it won't let me click on reviews.","Navigation"
"14953","A2LV5QYHH24OMY","when searching for products&#44; have it for other countries&#44; not just UK","MoreFunc"
"7260","A312KFQ78WB3A4","let me go throught it and get back to you.","None"
"28169","A312KFQ78WB3A4","If you want to know how you can improve how about stop BLOODY sending me this message?","MoreFunc"
"17278","A2LV5QYHH24OMY","it would be great if you had a 'wish list' feature on your site","MoreFunc"
"26372","A2LV5QYHH24OMY","Offer free delivery","Delivery"
"19775","A2LV5QYHH24OMY","if you don't buy the items straight away","None"
"16098","A2I3Y0L38HMQLZ","Absolutely useless for ordering online when you can't try anything on.","None"
"9582","A312KFQ78WB3A4","i need dona brown loafers with tassels i cant find it and i want it badly","Products"
